asin,overall,reviewerID,unixReviewTime
2,"[5.0, 5.0, 3.0, 4.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[4364, 4184, 4911, 1498, 4673, 3734, 5815, 5815, 4184, 1498, 1498, 3710, 240, 2345, 3442, 2749, 4310, 4310, 4310, 1531, 262, 262, 262, 2749, 2781, 2749, 1508, 2597, 2597, 5921, 2345, 5800]","[15705.0, 16195.0, 16234.0, 16257.0, 16739.0, 16743.0, 16762.0, 16811.0, 16819.0, 16844.0, 16844.0, 16880.0, 16947.0, 17027.0, 17055.0, 17086.0, 17136.0, 17136.0, 17136.0, 17190.0, 17196.0, 17222.0, 17222.0, 17225.0, 17245.0, 17252.0, 17261.0, 17282.0, 17282.0, 17321.0, 17536.0, 17560.0]"
3,"[5.0, 4.0]","[5654, 1503]","[14401.0, 14809.0]"
4,"[5.0, 5.0, 5.0, 5.0]","[2715, 5301, 3215, 4676]","[15949.0, 16568.0, 16864.0, 17582.0]"
5,[5.0],[5654],[14401.0]
6,"[5.0, 5.0, 5.0, 5.0, 3.0, 2.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 5.0, 3.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.0]","[3567, 2630, 4087, 5111, 963, 2868, 2126, 3464, 1204, 1896, 1896, 2445, 2445, 4466, 1276, 1817, 4373, 3599, 295, 5725, 5187, 3770]","[13767.0, 15348.0, 15749.0, 15960.0, 16102.0, 16111.0, 16181.0, 16187.0, 16380.0, 16405.0, 16405.0, 16648.0, 16664.0, 16665.0, 16679.0, 16776.0, 16853.0, 17111.0, 17190.0, 17332.0, 17459.0, 17659.0]"
7,"[5.0, 2.0]","[701, 1896]","[14947.0, 16362.0]"
8,"[5.0, 5.0, 5.0]","[30, 4720, 4311]","[16201.0, 16226.0, 16257.0]"
9,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0, 4.0, 5.0, 4.0, 4.0, 3.0, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[4458, 4488, 32, 5320, 2427, 2148, 1029, 5157, 378, 4729, 2572, 4488, 2415, 3605, 3955, 5044, 3429, 2427, 5447, 4667, 3302, 5738, 2608, 4882, 2583, 2583, 641, 488, 3281, 3177, 4454, 252, 2465, 2061]","[15547.0, 15648.0, 15688.0, 15966.0, 16026.0, 16241.0, 16329.0, 16372.0, 16448.0, 16449.0, 16457.0, 16536.0, 16550.0, 16552.0, 16553.0, 16553.0, 16553.0, 16554.0, 16556.0, 16557.0, 16569.0, 16677.0, 16729.0, 16935.0, 16946.0, 16946.0, 17004.0, 17164.0, 17355.0, 17361.0, 17496.0, 17530.0, 17540.0, 17575.0]"
10,"[5.0, 4.0]","[3734, 489]","[15224.0, 16298.0]"
11,"[4.0, 5.0, 2.0]","[330, 4578, 1136]","[14950.0, 15006.0, 16457.0]"
12,"[5.0, 5.0]","[1328, 1658]","[16434.0, 16758.0]"
13,[5.0],[4578],[15006.0]
14,"[5.0, 4.0, 5.0, 5.0]","[3595, 1476, 3881, 2801]","[16128.0, 16817.0, 17238.0, 17328.0]"
15,[5.0],[1801],[16548.0]
16,"[1.0, 5.0]","[2388, 4578]","[13880.0, 15006.0]"
17,[5.0],[2205],[15820.0]
