reviewerID,overall,asin,unixReviewTime
1,"[5.0, 5.0, 5.0, 5.0, 4.0]","[3406, 1860, 2211, 2293, 4995]","[17178.0, 17335.0, 17423.0, 17423.0, 17472.0]"
2,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[2787, 1389, 2788, 2033, 413, 27, 351, 3848, 194, 934, 934, 410, 410, 1872, 27, 27, 4598, 3470]","[16341.0, 16342.0, 16342.0, 16438.0, 16482.0, 16482.0, 16482.0, 16482.0, 16513.0, 16524.0, 16524.0, 16524.0, 16524.0, 16524.0, 16524.0, 16563.0, 16804.0, 17725.0]"
3,"[5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 1.0]","[207, 3169, 1958, 2787, 4620, 2367, 2365]","[16438.0, 16842.0, 17387.0, 17461.0, 17525.0, 17667.0, 17681.0]"
4,"[4.0, 4.0, 3.0, 3.0, 4.0, 4.0]","[1089, 1089, 933, 933, 2397, 3243]","[16447.0, 16447.0, 16483.0, 16483.0, 16597.0, 16597.0]"
5,"[2.0, 2.0, 5.0, 5.0, 5.0]","[1177, 1177, 1143, 1143, 1577]","[17557.0, 17557.0, 17570.0, 17570.0, 17649.0]"
6,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3406, 1756, 1668, 694, 2885, 797, 1530]","[17214.0, 17214.0, 17214.0, 17214.0, 17214.0, 17278.0, 17278.0]"
7,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[159, 510, 3308, 3127, 3002, 2332, 2710, 2540]","[16063.0, 16063.0, 16063.0, 16063.0, 16063.0, 16063.0, 16063.0, 16063.0]"
8,"[5.0, 4.0, 4.0, 5.0, 2.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 2.0, 4.0, 4.0, 4.0]","[1379, 246, 3412, 2291, 3229, 2559, 3230, 903, 903, 1794, 3750, 4519, 4526, 4529, 4885, 5355, 5321, 5318]","[14441.0, 14513.0, 16240.0, 16240.0, 16358.0, 16360.0, 16361.0, 16364.0, 16364.0, 16407.0, 16436.0, 16637.0, 16638.0, 16639.0, 16739.0, 16999.0, 17065.0, 17074.0]"
9,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[5264, 5336, 5300, 5263, 5304, 5308, 5296, 5295]","[17719.0, 17719.0, 17719.0, 17719.0, 17719.0, 17719.0, 17719.0, 17719.0]"
10,"[5.0, 5.0, 5.0, 5.0, 5.0]","[162, 1753, 3211, 3215, 1753]","[15975.0, 16308.0, 16308.0, 16308.0, 16308.0]"
11,"[4.0, 3.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 1.0, 4.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0]","[1494, 4154, 4096, 4237, 4770, 4280, 3408, 3526, 5177, 5369, 1111, 1111, 4738, 3801, 5198, 1833, 1045, 1045, 25, 3651, 25, 4130, 4132, 3234, 1338, 4357, 551, 5216]","[15629.0, 16373.0, 16391.0, 16408.0, 16693.0, 16697.0, 16784.0, 16842.0, 16940.0, 16987.0, 17051.0, 17051.0, 17156.0, 17188.0, 17194.0, 17226.0, 17290.0, 17290.0, 17330.0, 17332.0, 17337.0, 17337.0, 17340.0, 17539.0, 17613.0, 17638.0, 17667.0, 17719.0]"
12,"[3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 2.0]","[3525, 95, 654, 5036, 1167, 1167, 1510, 3013, 2782]","[16242.0, 16734.0, 16752.0, 17045.0, 17054.0, 17054.0, 17216.0, 17291.0, 17494.0]"
13,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1112, 1112, 1100, 1100, 1177, 1177, 1680, 1581, 3951, 3610, 4065]","[17146.0, 17146.0, 17146.0, 17146.0, 17147.0, 17147.0, 17147.0, 17151.0, 17151.0, 17151.0, 17151.0]"
14,"[2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0]","[858, 858, 2903, 140, 904, 904, 407]","[15991.0, 15991.0, 15997.0, 16080.0, 16137.0, 16137.0, 16137.0]"
15,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3308, 3127, 3002, 159, 510, 2540, 2710, 2332]","[16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0]"
16,"[5.0, 5.0, 3.0, 5.0, 5.0, 1.0, 4.0]","[2452, 1966, 79, 1074, 1074, 3532, 593]","[15840.0, 15853.0, 15922.0, 15946.0, 15946.0, 16035.0, 16357.0]"
17,"[4.0, 3.0, 5.0, 5.0, 5.0]","[3210, 3462, 1069, 4425, 1069]","[17223.0, 17223.0, 17302.0, 17302.0, 17302.0]"
18,"[5.0, 5.0, 5.0, 5.0, 5.0]","[4525, 2368, 449, 904, 904]","[17285.0, 17285.0, 17429.0, 17528.0, 17528.0]"
19,"[4.0, 4.0, 3.0, 5.0, 3.0, 5.0, 5.0]","[571, 3507, 4972, 4825, 25, 984, 984]","[16487.0, 16547.0, 16832.0, 17077.0, 17345.0, 17507.0, 17507.0]"
20,"[3.0, 3.0, 5.0, 4.0, 4.0]","[1894, 1893, 4477, 5173, 3013]","[16775.0, 16775.0, 16775.0, 17216.0, 17324.0]"
21,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1564, 2787, 40, 1594, 1597]","[16261.0, 16261.0, 16486.0, 17272.0, 17272.0]"
22,"[5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0]","[726, 135, 1058, 1058, 5065, 1674, 2221, 5129]","[16314.0, 16314.0, 16314.0, 16314.0, 17185.0, 17221.0, 17422.0, 17446.0]"
23,"[5.0, 4.0, 4.0, 5.0, 5.0, 5.0]","[1594, 3882, 1593, 2943, 3343, 3344]","[15785.0, 15785.0, 15785.0, 16142.0, 16456.0, 16463.0]"
24,"[5.0, 5.0, 5.0, 5.0, 5.0]","[682, 683, 683, 1366, 1323]","[15250.0, 15371.0, 15410.0, 15679.0, 15959.0]"
25,"[5.0, 5.0, 5.0, 5.0, 5.0]","[3571, 3579, 3578, 937, 1860]","[16079.0, 16079.0, 16079.0, 16165.0, 17131.0]"
26,"[5.0, 5.0, 5.0, 1.0, 2.0, 5.0, 5.0]","[774, 3909, 2038, 3104, 3886, 1262, 4741]","[16461.0, 16638.0, 16959.0, 16959.0, 16959.0, 16959.0, 17014.0]"
27,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 5.0]","[472, 471, 462, 531, 460, 468, 465, 457, 458, 470, 1074, 1074, 459, 463, 469]","[15686.0, 15686.0, 15686.0, 15686.0, 15686.0, 15686.0, 15686.0, 15686.0, 15686.0, 15686.0, 15806.0, 15806.0, 15842.0, 15842.0, 15892.0]"
28,"[5.0, 5.0, 5.0, 5.0, 5.0]","[2549, 3135, 3134, 2548, 1427]","[16636.0, 16636.0, 16636.0, 16636.0, 16636.0]"
29,"[5.0, 5.0, 4.0, 5.0, 5.0]","[977, 977, 1354, 977, 977]","[15890.0, 15890.0, 16104.0, 16120.0, 16120.0]"
30,"[4.0, 5.0, 3.0, 3.0, 4.0]","[2803, 8, 1208, 1208, 3164]","[16151.0, 16201.0, 17007.0, 17007.0, 17255.0]"
31,"[4.0, 5.0, 5.0, 5.0, 4.0]","[376, 508, 976, 976, 140]","[16259.0, 16454.0, 16472.0, 16472.0, 16531.0]"
