,reviewerID,overall,asin,unixReviewTime
0,1,"[5.0, 5.0, 5.0, 5.0, 4.0]","[3406, 1860, 2211, 2293, 4995]","[4580.0, 4737.0, 4825.0, 4825.001, 4874.0]"
1,2,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[2787, 1389, 2788, 2033, 413, 27, 351, 3848, 194, 934, 934, 410, 410, 1872, 27, 27, 4598, 3470]","[3743.0, 3744.0, 3744.001, 3840.0, 3884.0, 3884.001, 3884.002, 3884.003, 3915.0, 3926.0, 3926.001, 3926.002, 3926.003, 3926.004, 3926.005, 3965.0, 4206.0, 5127.0]"
2,3,"[5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 1.0]","[207, 3169, 1958, 2787, 4620, 2367, 2365]","[3840.0, 4244.0, 4789.0, 4863.0, 4927.0, 5069.0, 5083.0]"
3,4,"[4.0, 4.0, 3.0, 3.0, 4.0, 4.0]","[1089, 1089, 933, 933, 2397, 3243]","[3849.0, 3849.001, 3885.0, 3885.001, 3999.0, 3999.001]"
4,5,"[2.0, 2.0, 5.0, 5.0, 5.0]","[1177, 1177, 1143, 1143, 1577]","[4959.0, 4959.001, 4972.0, 4972.001, 5051.0]"
5,6,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3406, 1756, 1668, 694, 2885, 797, 1530]","[4616.0, 4616.001, 4616.002, 4616.003, 4616.004, 4680.0, 4680.001]"
6,7,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[159, 510, 3308, 3127, 3002, 2332, 2710, 2540]","[3465.0, 3465.001, 3465.002, 3465.003, 3465.004, 3465.005, 3465.006, 3465.007]"
7,8,"[5.0, 4.0, 4.0, 5.0, 2.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 2.0, 4.0, 4.0, 4.0]","[1379, 246, 3412, 2291, 3229, 2559, 3230, 903, 903, 1794, 3750, 4519, 4526, 4529, 4885, 5355, 5321, 5318]","[1843.0, 1915.0, 3642.0, 3642.001, 3760.0, 3762.0, 3763.0, 3766.0, 3766.001, 3809.0, 3838.0, 4039.0, 4040.0, 4041.0, 4141.0, 4401.0, 4467.0, 4476.0]"
8,9,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[5264, 5336, 5300, 5263, 5304, 5308, 5296, 5295]","[5121.0, 5121.001, 5121.002, 5121.003, 5121.004, 5121.005, 5121.006, 5121.007]"
9,10,"[5.0, 5.0, 5.0, 5.0, 5.0]","[162, 1753, 3211, 3215, 1753]","[3377.0, 3710.0, 3710.001, 3710.002, 3710.003]"
10,11,"[4.0, 3.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 1.0, 4.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0]","[1494, 4154, 4096, 4237, 4770, 4280, 3408, 3526, 5177, 5369, 1111, 1111, 4738, 3801, 5198, 1833, 1045, 1045, 25, 3651, 25, 4130, 4132, 3234, 1338, 4357, 551, 5216]","[3031.0, 3775.0, 3793.0, 3810.0, 4095.0, 4099.0, 4186.0, 4244.0, 4342.0, 4389.0, 4453.0, 4453.001, 4558.0, 4590.0, 4596.0, 4628.0, 4692.0, 4692.001, 4732.0, 4734.0, 4739.0, 4739.001, 4742.0, 4941.0, 5015.0, 5040.0, 5069.0, 5121.0]"
11,12,"[3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 2.0]","[3525, 95, 654, 5036, 1167, 1167, 1510, 3013, 2782]","[3644.0, 4136.0, 4154.0, 4447.0, 4456.0, 4456.001, 4618.0, 4693.0, 4896.0]"
12,13,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1112, 1112, 1100, 1100, 1177, 1177, 1680, 1581, 3951, 3610, 4065]","[4548.0, 4548.001, 4548.002, 4548.003, 4549.0, 4549.001, 4549.002, 4553.0, 4553.001, 4553.002, 4553.003]"
13,14,"[2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0]","[858, 858, 2903, 140, 904, 904, 407]","[3393.0, 3393.001, 3399.0, 3482.0, 3539.0, 3539.001, 3539.002]"
14,15,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3308, 3127, 3002, 159, 510, 2540, 2710, 2332]","[4356.0, 4356.001, 4356.002, 4356.003, 4356.004, 4356.005, 4356.006, 4356.007]"
15,16,"[5.0, 5.0, 3.0, 5.0, 5.0, 1.0, 4.0]","[2452, 1966, 79, 1074, 1074, 3532, 593]","[3242.0, 3255.0, 3324.0, 3348.0, 3348.001, 3437.0, 3759.0]"
16,17,"[4.0, 3.0, 5.0, 5.0, 5.0]","[3210, 3462, 1069, 4425, 1069]","[4625.0, 4625.001, 4704.0, 4704.001, 4704.002]"
17,18,"[5.0, 5.0, 5.0, 5.0, 5.0]","[4525, 2368, 449, 904, 904]","[4687.0, 4687.001, 4831.0, 4930.0, 4930.001]"
18,19,"[4.0, 4.0, 3.0, 5.0, 3.0, 5.0, 5.0]","[571, 3507, 4972, 4825, 25, 984, 984]","[3889.0, 3949.0, 4234.0, 4479.0, 4747.0, 4909.0, 4909.001]"
19,20,"[3.0, 3.0, 5.0, 4.0, 4.0]","[1894, 1893, 4477, 5173, 3013]","[4177.0, 4177.001, 4177.002, 4618.0, 4726.0]"
20,21,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1564, 2787, 40, 1594, 1597]","[3663.0, 3663.001, 3888.0, 4674.0, 4674.001]"
21,22,"[5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0]","[726, 135, 1058, 1058, 5065, 1674, 2221, 5129]","[3716.0, 3716.001, 3716.002, 3716.003, 4587.0, 4623.0, 4824.0, 4848.0]"
22,23,"[5.0, 4.0, 4.0, 5.0, 5.0, 5.0]","[1594, 3882, 1593, 2943, 3343, 3344]","[3187.0, 3187.001, 3187.002, 3544.0, 3858.0, 3865.0]"
23,24,"[5.0, 5.0, 5.0, 5.0, 5.0]","[682, 683, 683, 1366, 1323]","[2652.0, 2773.0, 2812.0, 3081.0, 3361.0]"
24,25,"[5.0, 5.0, 5.0, 5.0, 5.0]","[3571, 3579, 3578, 937, 1860]","[3481.0, 3481.001, 3481.002, 3567.0, 4533.0]"
25,26,"[5.0, 5.0, 5.0, 1.0, 2.0, 5.0, 5.0]","[774, 3909, 2038, 3104, 3886, 1262, 4741]","[3863.0, 4040.0, 4361.0, 4361.001, 4361.002, 4361.003, 4416.0]"
26,27,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 5.0]","[472, 471, 462, 531, 460, 468, 465, 457, 458, 470, 1074, 1074, 459, 463, 469]","[3088.0, 3088.001, 3088.002, 3088.003, 3088.004, 3088.005, 3088.006, 3088.007, 3088.008, 3088.009, 3208.0, 3208.001, 3244.0, 3244.001, 3294.0]"
27,28,"[5.0, 5.0, 5.0, 5.0, 5.0]","[2549, 3135, 3134, 2548, 1427]","[4038.0, 4038.001, 4038.002, 4038.003, 4038.004]"
28,29,"[5.0, 5.0, 4.0, 5.0, 5.0]","[977, 977, 1354, 977, 977]","[3292.0, 3292.001, 3506.0, 3522.0, 3522.001]"
29,30,"[4.0, 5.0, 3.0, 3.0, 4.0]","[2803, 8, 1208, 1208, 3164]","[3553.0, 3603.0, 4409.0, 4409.001, 4657.0]"
30,31,"[4.0, 5.0, 5.0, 5.0, 4.0]","[376, 508, 976, 976, 140]","[3661.0, 3856.0, 3874.0, 3874.001, 3933.0]"
31,32,"[5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[222, 220, 652, 9, 1438, 2796, 1438]","[2473.0, 3069.0, 3090.0, 3090.001, 3096.0, 3116.0, 3947.0]"
32,33,"[5.0, 5.0, 5.0, 5.0, 5.0]","[731, 734, 2307, 2614, 732]","[4954.0, 4954.001, 4954.002, 4954.003, 4954.004]"
33,34,"[5.0, 5.0, 5.0, 5.0, 5.0]","[747, 754, 350, 100, 210]","[4605.0, 4605.001, 4605.002, 4605.003, 4605.004]"
34,35,"[5.0, 4.0, 4.0, 3.0, 4.0]","[174, 1728, 3933, 4466, 2978]","[2022.0, 3816.0, 3841.0, 4290.0, 4412.0]"
35,36,"[2.0, 4.0, 5.0, 2.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3672, 1539, 720, 1424, 3741, 3762, 1209, 1209, 934, 934, 1539]","[3467.0, 3533.0, 3712.0, 3852.0, 3953.0, 4460.0, 4460.001, 4460.002, 4461.0, 4461.001, 4578.0]"
36,37,"[5.0, 5.0, 3.0, 5.0, 5.0, 3.0]","[1433, 1544, 721, 1544, 1899, 1998]","[3414.0, 3772.0, 3772.001, 3790.0, 4487.0, 4545.0]"
