asin,overall,reviewerID,unixReviewTime
2,[5.0],[4807],[13949.0]
3,[5.0],[148],[15346.0]
4,"[5.0, 5.0]","[2409, 365]","[15724.0, 16695.0]"
5,[5.0],[3173],[16119.0]
6,[4.0],[3328],[15098.0]
7,[5.0],[73],[16629.0]
8,[4.0],[6285],[15774.0]
9,[5.0],[3212],[16630.0]
10,"[4.0, 4.0, 5.0]","[7031, 7031, 461]","[16302.0, 16302.0, 16635.0]"
11,[4.0],[4682],[16398.0]
12,"[5.0, 5.0]","[2052, 3487]","[16093.0, 17469.0]"
13,[5.0],[891],[15706.0]
14,"[5.0, 4.0, 5.0, 5.0, 5.0]","[3635, 6128, 3694, 5322, 4930]","[15859.0, 16046.0, 16112.0, 16354.0, 16442.0]"
15,"[5.0, 2.0]","[5153, 5532]","[16765.0, 17221.0]"
16,[5.0],[7457],[16194.0]
17,[3.0],[1616],[16118.0]
18,[5.0],[2890],[15603.0]
19,"[3.0, 4.0]","[6172, 1669]","[16725.0, 17657.0]"
20,[5.0],[1669],[15188.0]
21,"[5.0, 5.0, 5.0]","[2945, 6663, 5125]","[14459.0, 16111.0, 16298.0]"
22,[5.0],[1494],[15940.0]
23,[3.0],[5928],[17032.0]
24,"[5.0, 5.0, 5.0]","[2945, 2796, 5191]","[14539.0, 15774.0, 16332.0]"
25,"[5.0, 5.0, 5.0]","[2945, 6109, 1261]","[13762.0, 14125.0, 14159.0]"
26,"[4.0, 5.0]","[2649, 3173]","[13247.0, 16119.0]"
27,"[5.0, 5.0]","[4206, 4434]","[15985.0, 16585.0]"
28,"[5.0, 5.0, 5.0, 4.0]","[4298, 2378, 4471, 6820]","[14322.0, 16570.0, 16579.0, 17161.0]"
29,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[6594, 4166, 6586, 3339, 3752, 6314]","[16361.0, 16385.0, 16484.0, 16936.0, 17069.0, 17655.0]"
30,[5.0],[4144],[13845.0]
31,"[5.0, 5.0]","[6059, 2743]","[12819.0, 16958.0]"
32,[5.0],[5744],[15703.0]
33,"[5.0, 5.0]","[5163, 5153]","[15753.0, 16764.0]"
34,[5.0],[5737],[16431.0]
35,"[5.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0]","[6087, 5741, 236, 272, 1516, 1095, 3148, 1063, 6087, 236, 3403, 6330, 3475, 4343, 5741, 934, 3518, 5021, 7413, 2531, 1280, 4458, 4235, 5505, 4779, 6253, 2060, 755, 469, 3752, 2204, 4557, 1811, 3248, 455]","[12983.0, 12983.0, 12989.0, 12992.0, 13037.0, 13046.0, 13048.0, 13242.0, 13589.0, 13611.0, 14421.0, 14424.0, 14464.0, 14484.0, 14603.0, 15304.0, 15757.0, 15991.0, 16097.0, 16235.0, 16344.0, 16418.0, 16437.0, 16491.0, 16512.0, 16519.0, 16548.0, 16672.0, 16860.0, 16936.0, 16958.0, 16962.0, 17167.0, 17317.0, 17646.0]"
36,"[5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0]","[6615, 6615, 6548, 6548, 1840, 1840, 4056, 4056, 7281, 7281, 7281, 7281, 7281, 7281, 7281, 7281, 7281, 7281, 1400, 1400, 852, 852, 7334, 7334, 5017, 5017]","[15545.0, 15545.0, 15560.0, 15560.0, 15618.0, 15618.0, 15691.0, 15691.0, 16162.0, 16162.0, 16162.0, 16162.0, 16162.0, 16162.0, 16162.0, 16162.0, 16162.0, 16162.0, 16372.0, 16372.0, 16405.0, 16405.0, 16422.0, 16422.0, 16495.0, 16495.0]"
37,"[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[7031, 6608, 4234, 5588, 4304, 6319, 7106, 2274, 5854, 2649, 1201, 5132, 7096, 2028, 3592, 5147, 4857, 1331, 225, 4170, 5021, 2887, 4258, 2116, 3727, 5645, 6358, 2685, 6361, 515, 6365, 6310, 7048, 3862, 2410, 6941, 4171, 3105, 6661, 4019, 290, 3605, 6264, 7136, 2567, 6819]","[11334.0, 11922.0, 12231.0, 12321.0, 12480.0, 12967.0, 12981.0, 13861.0, 13882.0, 13933.0, 13968.0, 14154.0, 14284.0, 14494.0, 14623.0, 14870.0, 14994.0, 15072.0, 15298.0, 15437.0, 15517.0, 15650.0, 15779.0, 15797.0, 15804.0, 16163.0, 16310.0, 16312.0, 16457.0, 16503.0, 16511.0, 16642.0, 16655.0, 16678.0, 16708.0, 16875.0, 16875.0, 16913.0, 16924.0, 17134.0, 17471.0, 17563.0, 17594.0, 17600.0, 17620.0, 17665.0]"
38,"[5.0, 5.0, 2.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3383, 1595, 2028, 6803, 6819, 3265, 3781, 2685, 7048, 4467, 3827]","[15664.0, 15665.0, 15673.0, 15704.0, 15714.0, 15731.0, 15911.0, 16309.0, 16360.0, 16700.0, 16761.0]"
39,"[5.0, 4.0]","[7079, 434]","[16716.0, 17152.0]"
40,[5.0],[1306],[16000.0]
41,"[2.0, 3.0, 5.0]","[4138, 5854, 5802]","[11515.0, 13333.0, 16168.0]"
42,"[5.0, 5.0, 5.0]","[4881, 5397, 905]","[16410.0, 16439.0, 16769.0]"
43,"[5.0, 3.0]","[3592, 4313]","[14875.0, 17373.0]"
44,"[5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0]","[1386, 7323, 1095, 1044, 6288, 6015, 6258, 909, 1745, 5305]","[11154.0, 12150.0, 12317.0, 12526.0, 13684.0, 14424.0, 16344.0, 16399.0, 16847.0, 17191.0]"
45,[4.0],[7031],[12516.0]
46,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[5204, 260, 4866, 37, 39, 34]","[10977.0, 14037.0, 15713.0, 16137.0, 16764.0, 16939.0]"
47,[3.0],[5854],[13910.0]
48,[5.0],[3640],[12845.0]
49,"[2.0, 3.0]","[2265, 946]","[12270.0, 12960.0]"
50,[3.0],[4857],[15020.0]
51,"[4.0, 5.0, 5.0, 4.0]","[6659, 1053, 1148, 2134]","[13439.0, 13904.0, 13961.0, 14980.0]"
52,"[5.0, 5.0]","[6692, 6054]","[11270.0, 17262.0]"
53,"[5.0, 3.0]","[3640, 6009]","[13057.0, 13989.0]"
54,[4.0],[4138],[17263.0]
55,"[5.0, 3.0]","[2422, 3778]","[11385.0, 15930.0]"
56,"[5.0, 4.0]","[5261, 1611]","[16459.0, 16519.0]"
57,[5.0],[1469],[16304.0]
58,[5.0],[119],[15645.0]
59,"[3.0, 5.0, 3.0, 5.0]","[934, 7079, 2274, 6303]","[10968.0, 16367.0, 16936.0, 17257.0]"
60,[3.0],[3781],[12723.0]
61,"[5.0, 5.0, 4.0]","[2546, 2546, 857]","[13031.0, 15802.0, 15829.0]"
62,"[5.0, 4.0]","[3747, 1235]","[15562.0, 17392.0]"
63,[5.0],[6799],[17012.0]
64,[5.0],[4001],[13299.0]
65,[4.0],[2274],[15088.0]
66,"[5.0, 4.0, 4.0, 5.0, 5.0]","[7281, 5002, 1180, 5552, 2047]","[16128.0, 16280.0, 17017.0, 17063.0, 17076.0]"
67,[5.0],[1992],[16490.0]
68,[5.0],[4001],[11614.0]
69,[4.0],[6015],[14587.0]
70,[5.0],[3487],[11191.0]
71,[5.0],[3880],[15913.0]
72,[5.0],[5052],[15689.0]
73,[1.0],[5021],[15517.0]
74,[5.0],[5926],[16915.0]
75,"[5.0, 5.0, 2.0]","[2546, 5806, 6700]","[15122.0, 15378.0, 15445.0]"
76,[5.0],[5052],[17240.0]
77,[5.0],[3640],[11895.0]
78,[5.0],[5464],[15027.0]
79,[5.0],[6959],[15679.0]
80,[5.0],[2367],[17374.0]
81,"[4.0, 5.0]","[6700, 2961]","[15250.0, 17313.0]"
82,"[3.0, 5.0]","[332, 91]","[13528.0, 14931.0]"
83,"[5.0, 5.0]","[2546, 857]","[13809.0, 16767.0]"
84,"[5.0, 5.0, 5.0, 5.0]","[6087, 3475, 939, 1183]","[11130.0, 13529.0, 16704.0, 16729.0]"
85,"[5.0, 3.0]","[3640, 6306]","[12886.0, 16404.0]"
86,[5.0],[857],[14142.0]
87,"[5.0, 2.0, 5.0]","[3592, 6700, 3946]","[15070.0, 16280.0, 17223.0]"
88,"[5.0, 5.0, 5.0]","[6700, 6700, 857]","[15260.0, 16620.0, 16651.0]"
89,"[5.0, 3.0]","[6527, 6015]","[11940.0, 14460.0]"
90,[4.0],[5926],[16938.0]
91,[4.0],[4682],[16955.0]
92,"[5.0, 5.0]","[2546, 857]","[14292.0, 16793.0]"
93,[5.0],[857],[16488.0]
94,[4.0],[5854],[13980.0]
95,"[4.0, 5.0]","[82, 7048]","[16656.0, 16692.0]"
96,[4.0],[3134],[17243.0]
97,[5.0],[4670],[12995.0]
98,[5.0],[707],[16602.0]
99,"[5.0, 4.0]","[1386, 2651]","[11255.0, 12212.0]"
100,"[5.0, 5.0]","[6692, 6197]","[11351.0, 16526.0]"
101,[4.0],[857],[16594.0]
102,[5.0],[1322],[15895.0]
103,"[4.0, 4.0]","[7031, 4929]","[11304.0, 16533.0]"
104,[5.0],[2575],[13475.0]
105,[5.0],[6087],[11137.0]
106,[5.0],[2961],[17434.0]
107,[5.0],[1595],[13665.0]
108,[5.0],[7281],[17481.0]
109,[5.0],[5459],[16107.0]
110,[5.0],[7281],[15727.0]
111,"[4.0, 5.0]","[6692, 3239]","[12150.0, 14533.0]"
112,[4.0],[1000],[12150.0]
113,"[5.0, 5.0]","[6959, 857]","[16118.0, 16188.0]"
114,"[5.0, 5.0]","[5894, 3304]","[14366.0, 16649.0]"
115,[5.0],[763],[16592.0]
116,"[5.0, 3.0]","[857, 2546]","[15088.0, 15100.0]"
117,[5.0],[1459],[16726.0]
118,[5.0],[5978],[17111.0]
119,[4.0],[4335],[13474.0]
120,[5.0],[4319],[15489.0]
121,[5.0],[6388],[14619.0]
122,"[3.0, 4.0, 5.0]","[273, 6961, 4319]","[15647.0, 16592.0, 16636.0]"
123,[4.0],[3961],[15484.0]
124,[5.0],[5634],[15411.0]
125,[5.0],[6889],[13024.0]
126,[5.0],[4711],[12202.0]
127,"[5.0, 5.0]","[5554, 7457]","[16411.0, 16825.0]"
128,[5.0],[131],[15716.0]
129,[5.0],[332],[13061.0]
130,[5.0],[5894],[14304.0]
131,"[1.0, 3.0, 5.0]","[2941, 1522, 7206]","[14836.0, 16147.0, 17634.0]"
132,"[3.0, 1.0]","[6087, 1817]","[15406.0, 15696.0]"
133,[5.0],[236],[13970.0]
134,[5.0],[5091],[17236.0]
135,[4.0],[7162],[14736.0]
136,[5.0],[3778],[17087.0]
137,[5.0],[3458],[13205.0]
138,[5.0],[1215],[16290.0]
139,"[2.0, 3.0, 5.0]","[6087, 2182, 1078]","[12109.0, 15926.0, 16303.0]"
140,[3.0],[6805],[12688.0]
141,[4.0],[2649],[13182.0]
142,[4.0],[236],[12340.0]
143,"[3.0, 4.0]","[6087, 6087]","[11874.0, 12120.0]"
144,[5.0],[3640],[11879.0]
145,[5.0],[4323],[16494.0]
146,[1.0],[2976],[14538.0]
147,[4.0],[5734],[15111.0]
148,[4.0],[583],[16451.0]
149,[4.0],[857],[14742.0]
150,[4.0],[1804],[15673.0]
151,[4.0],[857],[15415.0]
152,[5.0],[7281],[15716.0]
153,"[5.0, 5.0]","[7281, 926]","[15691.0, 16717.0]"
154,[5.0],[4170],[16835.0]
155,[5.0],[6330],[15980.0]
156,[5.0],[4881],[16466.0]
157,[1.0],[4113],[13808.0]
158,[4.0],[926],[16154.0]
159,"[5.0, 5.0]","[6087, 6087]","[12287.0, 12308.0]"
160,[5.0],[3317],[15444.0]
161,[5.0],[4900],[16844.0]
162,"[5.0, 5.0, 5.0]","[4069, 6330, 2328]","[12140.0, 15904.0, 16822.0]"
163,[5.0],[4717],[16090.0]
164,[5.0],[6329],[15152.0]
165,"[5.0, 5.0]","[3725, 3725]","[15695.0, 15695.0]"
166,[5.0],[3512],[15382.0]
167,[3.0],[3813],[16231.0]
168,"[4.0, 4.0, 4.0]","[2444, 2272, 707]","[14086.0, 16375.0, 16662.0]"
169,[5.0],[2406],[14084.0]
170,"[3.0, 3.0, 5.0]","[6463, 5977, 2406]","[15782.0, 16623.0, 17613.0]"
171,[3.0],[245],[17404.0]
172,[4.0],[754],[16069.0]
173,"[4.0, 5.0]","[4319, 2672]","[13143.0, 15367.0]"
174,"[5.0, 5.0, 5.0]","[6700, 5926, 530]","[17372.0, 17595.0, 17656.0]"
175,"[5.0, 1.0, 4.0, 1.0, 5.0, 5.0, 5.0]","[4613, 6805, 5854, 2028, 1201, 5782, 2605]","[12751.0, 12894.0, 13901.0, 14005.0, 14589.0, 16421.0, 16490.0]"
176,"[3.0, 4.0, 4.0, 5.0]","[4461, 5743, 5743, 5743]","[14163.0, 16658.0, 16658.0, 17169.0]"
177,[4.0],[6408],[13725.0]
178,"[5.0, 5.0]","[7115, 7115]","[14238.0, 14238.0]"
179,[5.0],[4206],[15985.0]
180,[5.0],[3640],[14405.0]
181,[4.0],[2266],[15728.0]
182,"[4.0, 5.0, 4.0]","[6954, 2817, 6954]","[13734.0, 14469.0, 16119.0]"
183,[5.0],[148],[15350.0]
184,[5.0],[7281],[16831.0]
185,[5.0],[1335],[14463.0]
186,[5.0],[5436],[12953.0]
187,[5.0],[2760],[15767.0]
188,[3.0],[6015],[14132.0]
189,[4.0],[4613],[12737.0]
190,"[5.0, 4.0]","[200, 3778]","[15247.0, 16077.0]"
191,[5.0],[4436],[13172.0]
192,"[2.0, 3.0]","[5470, 5470]","[14395.0, 14395.0]"
193,[5.0],[577],[16630.0]
194,[1.0],[2941],[13424.0]
195,[4.0],[5926],[16327.0]
196,[4.0],[5977],[16620.0]
197,[5.0],[6074],[12989.0]
198,"[5.0, 3.0]","[170, 5464]","[14829.0, 15043.0]"
199,[4.0],[6870],[16350.0]
200,"[1.0, 5.0]","[2701, 2701]","[16168.0, 16176.0]"
201,[5.0],[5777],[16987.0]
202,[5.0],[6704],[16523.0]
203,[3.0],[1770],[16722.0]
204,[5.0],[2395],[17138.0]
205,[4.0],[5029],[16659.0]
206,[5.0],[5613],[16238.0]
207,[4.0],[926],[16001.0]
208,"[5.0, 5.0]","[2126, 6812]","[14701.0, 14913.0]"
209,[5.0],[4717],[16396.0]
210,"[5.0, 2.0]","[2367, 2599]","[15926.0, 16487.0]"
211,"[5.0, 4.0]","[3278, 6535]","[12608.0, 16000.0]"
212,[3.0],[5928],[17032.0]
213,"[3.0, 5.0]","[2976, 1235]","[13505.0, 16764.0]"
214,[5.0],[3512],[14410.0]
215,[4.0],[2976],[13491.0]
216,[3.0],[7063],[16622.0]
217,[1.0],[5029],[17338.0]
218,[5.0],[7308],[15519.0]
219,[5.0],[3436],[16389.0]
220,[5.0],[332],[14124.0]
221,[5.0],[784],[16435.0]
222,"[5.0, 5.0]","[723, 5040]","[13534.0, 16709.0]"
223,[5.0],[4170],[15588.0]
224,[5.0],[370],[15020.0]
225,"[5.0, 5.0, 5.0, 5.0, 5.0]","[5436, 784, 6954, 6954, 6954]","[13146.0, 16435.0, 16775.0, 16775.0, 16775.0]"
226,[5.0],[4436],[13133.0]
227,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3778, 5563, 3729, 3729, 3024, 3024]","[16060.0, 16446.0, 16831.0, 16831.0, 17067.0, 17067.0]"
228,"[5.0, 5.0]","[5695, 5695]","[13497.0, 13497.0]"
229,[4.0],[3239],[14532.0]
230,[3.0],[3176],[15851.0]
231,[4.0],[6954],[15932.0]
232,[4.0],[5906],[16485.0]
233,[5.0],[4436],[13112.0]
234,[4.0],[3438],[16954.0]
235,[5.0],[4197],[15943.0]
236,"[5.0, 5.0]","[5436, 6629]","[12659.0, 15445.0]"
237,[3.0],[2708],[17005.0]
238,[2.0],[4958],[17275.0]
239,"[5.0, 3.0, 5.0]","[2126, 1265, 784]","[14701.0, 15259.0, 16435.0]"
240,[5.0],[2961],[16579.0]
241,[5.0],[5904],[16790.0]
242,"[5.0, 5.0]","[5926, 5926]","[15988.0, 16534.0]"
243,[4.0],[940],[13664.0]
244,[4.0],[4717],[15547.0]
245,[5.0],[2575],[13759.0]
246,[3.0],[3438],[16956.0]
247,"[5.0, 5.0]","[5436, 6932]","[12738.0, 12978.0]"
248,[5.0],[5272],[16674.0]
249,[5.0],[5436],[12952.0]
250,"[5.0, 5.0]","[4662, 1181]","[15545.0, 15999.0]"
251,[4.0],[964],[16327.0]
252,[5.0],[1571],[15045.0]
253,"[5.0, 5.0, 4.0, 1.0, 5.0]","[4423, 226, 3781, 2028, 290]","[13369.0, 13668.0, 15756.0, 17211.0, 17669.0]"
254,[5.0],[5802],[15829.0]
255,[1.0],[2708],[16845.0]
256,[4.0],[1083],[13737.0]
257,[3.0],[5470],[13032.0]
258,"[5.0, 5.0]","[6812, 3317]","[13288.0, 15141.0]"
259,[4.0],[5823],[14896.0]
260,"[5.0, 1.0]","[7226, 2367]","[16492.0, 17308.0]"
261,"[4.0, 5.0]","[1265, 4297]","[15304.0, 16371.0]"
262,[4.0],[5695],[13093.0]
263,[5.0],[2126],[13947.0]
264,"[5.0, 5.0, 5.0]","[6954, 4439, 249]","[13820.0, 14200.0, 16515.0]"
265,"[4.0, 3.0, 4.0]","[5743, 5743, 5743]","[16108.0, 16108.0, 16889.0]"
266,[4.0],[2525],[16040.0]
267,"[5.0, 5.0]","[7226, 262]","[13390.0, 16118.0]"
268,"[5.0, 3.0, 4.0, 2.0]","[5436, 4330, 370, 5470]","[13051.0, 15818.0, 16982.0, 17355.0]"
269,[5.0],[3729],[16831.0]
270,[5.0],[1504],[16252.0]
271,[4.0],[6808],[14522.0]
272,[5.0],[3719],[16142.0]
273,[5.0],[723],[13983.0]
274,[5.0],[4206],[15985.0]
275,[4.0],[4848],[15131.0]
276,"[4.0, 5.0, 5.0]","[3778, 3729, 3024]","[16214.0, 16851.0, 17067.0]"
277,[5.0],[1611],[15869.0]
278,[5.0],[2147],[15653.0]
279,[5.0],[5154],[13285.0]
280,[4.0],[3781],[14527.0]
281,[5.0],[4206],[16015.0]
282,"[4.0, 5.0]","[4439, 6178]","[14215.0, 15674.0]"
283,"[1.0, 1.0]","[2976, 6285]","[13511.0, 15766.0]"
284,[5.0],[148],[15327.0]
285,"[3.0, 3.0]","[6954, 6954]","[16657.0, 16657.0]"
286,[5.0],[2718],[15975.0]
287,[5.0],[1264],[14272.0]
288,[5.0],[4717],[16760.0]
289,[5.0],[4060],[15907.0]
290,"[5.0, 5.0, 5.0]","[3778, 5563, 3729]","[15906.0, 16446.0, 16831.0]"
291,[4.0],[6954],[15039.0]
292,[5.0],[2335],[15920.0]
293,[3.0],[5787],[17495.0]
294,[2.0],[3438],[16950.0]
295,[5.0],[4017],[17145.0]
296,"[5.0, 3.0]","[5737, 529]","[16431.0, 16656.0]"
297,"[1.0, 4.0]","[2028, 7325]","[16889.0, 17101.0]"
298,"[3.0, 3.0]","[6954, 2931]","[15848.0, 16721.0]"
299,[5.0],[2575],[13893.0]
300,[4.0],[926],[13532.0]
301,[5.0],[3781],[15227.0]
302,[4.0],[6463],[15473.0]
303,[5.0],[5745],[17372.0]
304,[5.0],[2575],[13893.0]
305,[5.0],[5436],[13060.0]
306,[5.0],[926],[14380.0]
307,[5.0],[6408],[14397.0]
308,[5.0],[1459],[16730.0]
309,[4.0],[6004],[16627.0]
310,"[3.0, 5.0]","[719, 292]","[12921.0, 16436.0]"
311,[4.0],[4639],[14575.0]
312,[5.0],[3173],[16651.0]
313,[5.0],[6954],[15060.0]
314,"[5.0, 5.0]","[2700, 6817]","[16311.0, 16432.0]"
315,"[4.0, 5.0]","[2546, 4313]","[15283.0, 16610.0]"
316,"[4.0, 5.0, 5.0]","[3640, 4794, 5261]","[14394.0, 14739.0, 17582.0]"
317,"[5.0, 5.0]","[5436, 37]","[13087.0, 16117.0]"
318,[5.0],[2395],[17138.0]
319,[5.0],[215],[15283.0]
320,[5.0],[2395],[17138.0]
321,[3.0],[6015],[14819.0]
322,"[3.0, 3.0]","[6954, 5148]","[15059.0, 16616.0]"
323,"[5.0, 5.0]","[6954, 5652]","[15983.0, 16374.0]"
324,[5.0],[4170],[15588.0]
325,"[4.0, 4.0]","[6463, 5977]","[15816.0, 16777.0]"
326,[5.0],[245],[17382.0]
327,[5.0],[6812],[13035.0]
328,[5.0],[2824],[14502.0]
329,[5.0],[2575],[14392.0]
330,[5.0],[6812],[13078.0]
331,[4.0],[1899],[14647.0]
332,[4.0],[4682],[16812.0]
333,[4.0],[2272],[15871.0]
334,[5.0],[6812],[13666.0]
335,[3.0],[2976],[13746.0]
336,[5.0],[4166],[16406.0]
337,[5.0],[2028],[13658.0]
338,"[4.0, 5.0, 5.0]","[6954, 6260, 6260]","[15210.0, 15871.0, 16594.0]"
339,"[5.0, 5.0, 5.0]","[5806, 5806, 5806]","[14542.0, 16277.0, 16277.0]"
340,[4.0],[4613],[13783.0]
341,[3.0],[5854],[13277.0]
342,"[5.0, 5.0, 5.0]","[4436, 4145, 5071]","[13497.0, 15691.0, 16061.0]"
343,[3.0],[6954],[13708.0]
344,[5.0],[5071],[16061.0]
345,"[5.0, 5.0, 5.0]","[4436, 3725, 3725]","[13497.0, 14773.0, 14773.0]"
346,"[5.0, 5.0, 5.0, 5.0]","[6954, 6954, 6954, 6954]","[13770.0, 13781.0, 14275.0, 15075.0]"
347,[4.0],[5021],[15690.0]
348,[4.0],[553],[14138.0]
349,[4.0],[553],[14137.0]
350,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3725, 4145, 5071, 6954, 3120, 6625]","[14773.0, 15691.0, 16061.0, 16537.0, 16558.0, 16588.0]"
351,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[4436, 4145, 4145, 6954, 6625, 3024]","[13497.0, 15691.0, 15691.0, 16537.0, 16588.0, 17152.0]"
352,"[5.0, 5.0, 5.0, 5.0, 5.0]","[6954, 6954, 6625, 6625, 3024]","[16538.0, 16539.0, 16588.0, 16588.0, 17152.0]"
353,"[5.0, 5.0]","[4436, 6954]","[13497.0, 16535.0]"
354,"[5.0, 5.0]","[6954, 6625]","[16536.0, 16588.0]"
355,"[5.0, 5.0, 5.0, 5.0, 5.0]","[3725, 4145, 6954, 6625, 3024]","[14127.0, 15691.0, 16534.0, 16588.0, 17152.0]"
356,"[5.0, 5.0, 5.0, 5.0, 4.0]","[6954, 6625, 3024, 4115, 1939]","[16538.0, 16588.0, 17152.0, 17173.0, 17323.0]"
357,"[5.0, 5.0, 5.0]","[6954, 6625, 3024]","[16539.0, 16588.0, 17152.0]"
358,[5.0],[6954],[16536.0]
359,"[5.0, 5.0]","[6954, 6625]","[16002.0, 16588.0]"
360,"[5.0, 5.0]","[5071, 6625]","[16061.0, 16588.0]"
361,[5.0],[6954],[16535.0]
362,"[5.0, 5.0, 5.0]","[4436, 6954, 4145]","[13497.0, 13801.0, 15691.0]"
363,"[5.0, 5.0, 5.0]","[6954, 6954, 6954]","[13781.0, 14273.0, 15165.0]"
364,"[4.0, 5.0]","[3781, 2823]","[15344.0, 17314.0]"
365,[5.0],[6812],[14281.0]
366,[3.0],[2976],[15661.0]
367,[5.0],[857],[17084.0]
368,"[3.0, 3.0, 5.0]","[7031, 7031, 7281]","[13891.0, 13891.0, 17625.0]"
369,[5.0],[5063],[16420.0]
370,[5.0],[3024],[16571.0]
371,"[5.0, 5.0, 5.0]","[5436, 3024, 213]","[13406.0, 16571.0, 16676.0]"
372,"[4.0, 4.0]","[6954, 6954]","[15051.0, 16080.0]"
373,[5.0],[4436],[13871.0]
374,[5.0],[4173],[16329.0]
375,[5.0],[5436],[13080.0]
376,[5.0],[926],[13529.0]
377,"[5.0, 5.0]","[926, 926]","[15148.0, 15148.0]"
378,[5.0],[1185],[15680.0]
379,[5.0],[1062],[14038.0]
380,[5.0],[2968],[16524.0]
381,[5.0],[2274],[13784.0]
382,"[5.0, 5.0, 5.0]","[6823, 6954, 666]","[14672.0, 15038.0, 15144.0]"
383,"[5.0, 5.0, 5.0]","[2546, 2546, 857]","[15415.0, 15415.0, 15427.0]"
384,[5.0],[1215],[16612.0]
385,[4.0],[6954],[15771.0]
386,[5.0],[5926],[16834.0]
387,[3.0],[469],[16860.0]
388,"[5.0, 5.0]","[332, 857]","[15961.0, 16484.0]"
389,[4.0],[5734],[14627.0]
390,"[4.0, 4.0]","[6954, 6954]","[16148.0, 16623.0]"
391,[4.0],[29],[16945.0]
