reviewerID,overall,asin,unixReviewTime
1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[18482, 15182, 15029, 24448, 14854, 18108, 17261, 16722, 15570, 15404, 3435, 3435, 2829, 16613, 14519, 14383, 12570, 3993, 11771, 7232, 6454, 5135, 5135, 4328, 4328, 3993, 10948, 961, 9794, 2543, 18157, 18768, 20101, 20970, 25193, 21245, 21771, 22659, 23148, 22913, 22722, 23237, 25370, 23696, 24163, 16300, 24280, 24575, 24777, 24282, 25179]","[16135.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0, 16285.0]"
2,"[4.0, 4.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[29130, 30537, 30216, 30542, 31130, 30388, 30032, 29612, 28369, 20939, 17737, 13176, 27040]","[16684.0, 16684.0, 16684.0, 16739.0, 16739.0, 16739.0, 16739.0, 16739.0, 16739.0, 16739.0, 16739.0, 16739.0, 16739.0]"
3,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[15306, 5577, 5795, 5795, 8103, 14472, 15659, 30190, 23237, 20484, 12656, 22324, 24389, 17949, 17212, 28305, 16051, 19569, 3951]","[16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0, 16829.0]"
4,"[2.0, 1.0, 3.0, 4.0, 5.0, 1.0, 5.0, 4.0, 3.0, 4.0]","[22838, 16780, 18112, 22833, 22829, 22834, 22840, 27117, 29160, 31457]","[17101.0, 17101.0, 17101.0, 17101.0, 17101.0, 17101.0, 17101.0, 17101.0, 17101.0, 17101.0]"
5,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[2896, 2897, 11589, 12693, 12697, 2344, 17929, 17626, 16144, 15813, 15053, 14692, 12682]","[15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0, 15773.0]"
6,"[4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[22227, 24792, 24546, 24643, 24846, 25350, 24282, 20777, 27033, 27928, 28052]","[15899.0, 16109.0, 16171.0, 16171.0, 16171.0, 16171.0, 16171.0, 16176.0, 16378.0, 16486.0, 16486.0]"
7,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[18032, 18834, 20217, 21938, 18031, 18030, 28433, 27600, 5074, 16586, 15725, 14329, 11255]","[16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0, 16631.0]"
8,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[6148, 6148, 10585, 4722, 22307, 10926, 24128, 23220, 6248, 9092, 10588, 14648, 21530, 17505, 23964, 17929, 7946, 22672, 7946, 17448, 21333, 22910, 15647]","[15693.0, 15693.0, 16226.0, 16226.0, 16229.0, 16229.0, 16229.0, 16229.0, 16229.0, 16229.0, 16229.0, 16229.0, 16229.0, 16229.0, 16234.0, 16234.0, 16234.0, 16234.0, 16234.0, 16234.0, 16349.0, 17145.0, 17300.0]"
9,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[8347, 8347, 21506, 20166, 27152, 18103, 18101, 19634, 31044, 6784, 6784, 32340]","[15705.0, 15705.0, 15859.0, 16144.0, 16494.0, 17165.0, 17165.0, 17402.0, 17510.0, 17510.0, 17510.0, 17751.0]"
10,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[12981, 4260, 4260, 2751, 2144, 831, 14874, 13890, 13886, 9475, 9112, 9090, 7027, 5753, 4632, 4595, 983]","[16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0, 16028.0]"
11,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1967, 15976, 20464, 16446, 20970, 20538, 15975, 17614, 15973, 16443, 10812, 16441, 21426, 21479, 16667]","[15674.0, 15674.0, 15674.0, 15674.0, 15674.0, 15674.0, 15695.0, 15695.0, 15695.0, 15695.0, 15720.0, 15720.0, 15758.0, 15758.0, 15758.0]"
12,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[5392, 17287, 18299, 5723, 25304, 17286, 22242, 20043, 18654, 20356, 23090, 9848, 9848]","[16348.0, 16348.0, 16348.0, 16348.0, 16348.0, 16348.0, 16348.0, 16348.0, 16348.0, 16348.0, 16436.0, 16436.0, 16436.0]"
13,"[4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[7178, 6911, 6911, 5069, 3877, 2811, 27863, 16549, 8310, 27851, 19699, 8310]","[16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0, 16892.0]"
14,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[6514, 6514, 13792, 12007, 13464, 11643, 5585, 5585, 4187, 4176, 4176]","[16013.0, 16013.0, 16229.0, 16229.0, 16229.0, 16290.0, 16290.0, 16290.0, 16290.0, 16290.0, 16290.0]"
15,"[5.0, 1.0, 5.0, 5.0, 1.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[6731, 11353, 31797, 30998, 15634, 17548, 18284, 28365, 30521, 30048]","[14144.0, 17084.0, 17322.0, 17426.0, 17586.0, 17625.0, 17697.0, 17713.0, 17720.0, 17756.0]"
16,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[7506, 16263, 15512, 3594, 3594, 28952, 28609, 3851, 26106, 28610, 3851, 29006, 29144, 29107, 29004, 4176, 29003, 28549]","[16100.0, 16166.0, 16411.0, 16478.0, 16478.0, 16494.0, 16495.0, 16500.0, 16500.0, 16500.0, 16500.0, 16503.0, 16504.0, 16504.0, 16505.0, 16522.0, 16522.0, 16740.0]"
17,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[6339, 6339, 11821, 10431, 723, 9391, 8800, 953, 8327, 780]","[15529.0, 15529.0, 15693.0, 15921.0, 16190.0, 16238.0, 16548.0, 16629.0, 16719.0, 17157.0]"
18,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[21901, 8422, 8422, 8251, 8251, 3836, 15688, 20081, 20627, 29268, 29849, 1934]","[16715.0, 16715.0, 16715.0, 16715.0, 16715.0, 16715.0, 16739.0, 16756.0, 16756.0, 16756.0, 16991.0, 17185.0]"
19,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[19272, 9790, 7251, 7708, 10762, 9768, 11925, 11925, 11153, 3391, 3391, 11113, 11146, 12018, 12017, 12996, 2875, 12041, 11147, 6478, 3791, 3791, 16729, 22196, 4380]","[16926.0, 16926.0, 16926.0, 16926.0, 16926.0, 16926.0, 16926.0, 16926.0, 16926.0, 16942.0, 16942.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16954.0, 16959.0, 17063.0, 17063.0, 17143.0, 17169.0, 17414.0]"
20,"[5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0]","[13468, 2933, 8113, 25199, 8307, 8307, 4149, 12964, 3133, 3133, 8329, 14436, 10534, 18926]","[16098.0, 16128.0, 16207.0, 16243.0, 16386.0, 16386.0, 16505.0, 16552.0, 16552.0, 16552.0, 16646.0, 16715.0, 16724.0, 16915.0]"
21,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[29651, 30041, 25734, 30468, 29717, 26113, 27718, 23917, 23072, 22311, 22108, 25733, 27731, 28251, 30634, 30755, 30887, 30885]","[16685.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0, 16846.0]"
22,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[17227, 17220, 10919, 16121, 15144, 14519, 14232, 24305, 1641, 4260, 1744, 4878, 18931, 26843, 29149, 4948, 11675, 23390, 22026, 32656, 17755, 22960]","[15946.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17283.0, 17530.0, 17530.0, 17530.0, 17530.0, 17530.0, 17530.0, 17530.0, 17530.0, 17530.0]"
