,reviewerID,overall,asin,unixReviewTime
0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[18482, 15182, 15029, 24448, 14854, 18108, 17261, 16722, 15570, 15404, 3435, 3435, 2829, 16613, 14519, 14383, 12570, 3993, 11771, 7232, 6454, 5135, 5135, 4328, 4328, 3993, 10948, 961, 9794, 2543, 18157, 18768, 20101, 20970, 25193, 21245, 21771, 22659, 23148, 22913, 22722, 23237, 25370, 23696, 24163, 16300, 24280, 24575, 24777, 24282, 25179]","[5179.0, 5329.0, 5329.001, 5329.002, 5329.003, 5329.004, 5329.005, 5329.006, 5329.007, 5329.008, 5329.009, 5329.01, 5329.011, 5329.012, 5329.013, 5329.014, 5329.015, 5329.016, 5329.017, 5329.018, 5329.019, 5329.02, 5329.021, 5329.022, 5329.023, 5329.024, 5329.025, 5329.026, 5329.027, 5329.028, 5329.029, 5329.03, 5329.031, 5329.032, 5329.033, 5329.034, 5329.035, 5329.036, 5329.037, 5329.038, 5329.039, 5329.04, 5329.041, 5329.042, 5329.043, 5329.044, 5329.045, 5329.046, 5329.047, 5329.048, 5329.049]"
1,2,"[4.0, 4.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[29130, 30537, 30216, 30542, 31130, 30388, 30032, 29612, 28369, 20939, 17737, 13176, 27040]","[5728.0, 5728.001, 5728.002, 5783.0, 5783.001, 5783.002, 5783.003, 5783.004, 5783.005, 5783.006, 5783.007, 5783.008, 5783.009]"
2,3,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[15306, 5577, 5795, 5795, 8103, 14472, 15659, 30190, 23237, 20484, 12656, 22324, 24389, 17949, 17212, 28305, 16051, 19569, 3951]","[5873.0, 5873.001, 5873.002, 5873.003, 5873.004, 5873.005, 5873.006, 5873.007, 5873.008, 5873.009, 5873.01, 5873.011, 5873.012, 5873.013, 5873.014, 5873.015, 5873.016, 5873.017, 5873.018]"
3,4,"[2.0, 1.0, 3.0, 4.0, 5.0, 1.0, 5.0, 4.0, 3.0, 4.0]","[22838, 16780, 18112, 22833, 22829, 22834, 22840, 27117, 29160, 31457]","[6145.0, 6145.001, 6145.002, 6145.003, 6145.004, 6145.005, 6145.006, 6145.007, 6145.008, 6145.009]"
4,5,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[2896, 2897, 11589, 12693, 12697, 2344, 17929, 17626, 16144, 15813, 15053, 14692, 12682]","[4817.0, 4817.001, 4817.002, 4817.003, 4817.004, 4817.005, 4817.006, 4817.007, 4817.008, 4817.009, 4817.01, 4817.011, 4817.012]"
5,6,"[4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[22227, 24792, 24546, 24643, 24846, 25350, 24282, 20777, 27033, 27928, 28052]","[4943.0, 5153.0, 5215.0, 5215.001, 5215.002, 5215.003, 5215.004, 5220.0, 5422.0, 5530.0, 5530.001]"
6,7,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[18032, 18834, 20217, 21938, 18031, 18030, 28433, 27600, 5074, 16586, 15725, 14329, 11255]","[5675.0, 5675.001, 5675.002, 5675.003, 5675.004, 5675.005, 5675.006, 5675.007, 5675.008, 5675.009, 5675.01, 5675.011, 5675.012]"
7,8,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[6148, 6148, 10585, 4722, 22307, 10926, 24128, 23220, 6248, 9092, 10588, 14648, 21530, 17505, 23964, 17929, 7946, 22672, 7946, 17448, 21333, 22910, 15647]","[4737.0, 4737.001, 5270.0, 5270.001, 5273.0, 5273.001, 5273.002, 5273.003, 5273.004, 5273.005, 5273.006, 5273.007, 5273.008, 5273.009, 5278.0, 5278.001, 5278.002, 5278.003, 5278.004, 5278.005, 5393.0, 6189.0, 6344.0]"
8,9,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[8347, 8347, 21506, 20166, 27152, 18103, 18101, 19634, 31044, 6784, 6784, 32340]","[4749.0, 4749.001, 4903.0, 5188.0, 5538.0, 6209.0, 6209.001, 6446.0, 6554.0, 6554.001, 6554.002, 6795.0]"
9,10,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[12981, 4260, 4260, 2751, 2144, 831, 14874, 13890, 13886, 9475, 9112, 9090, 7027, 5753, 4632, 4595, 983]","[5072.0, 5072.001, 5072.002, 5072.003, 5072.004, 5072.005, 5072.006, 5072.007, 5072.008, 5072.009, 5072.01, 5072.011, 5072.012, 5072.013, 5072.014, 5072.015, 5072.016]"
